 Subject: Tourism ,,,,,,,,,,,
 Topic : International Visitor Arrivals ,,,,,,,,,,,
" Title  : M550001 - International Visitor Arrivals By Inbound Tourism Markets, Monthly ",,,,,,,,,,,
, , , , , , , , , , ,Number
 Variables , 2019 Oct , 2019 Nov , 2019 Dec , 2020 Jan , 2020 Feb , 2020 Mar , 2020 Apr , 2020 May , 2020 Jun , 2020 Jul , 2020 Aug 
 Total International Visitor Arrivals By Inbound Tourism Markets * ,"1,530,041","1,533,193","1,724,531","1,688,099","732,965","240,001",750,880,"2,171","6,842","8,912"
     Southeast Asia ,"555,919","565,600","662,844","528,983","247,016","88,027",503,574,"1,100","2,309","2,833"
         Brunei Darussalam ,"4,687","6,366","10,298","5,363","1,764",514,3,0,1,14,8
         Indonesia ,"251,882","266,733","339,465","282,143","115,351","46,499",208,196,301,793,"1,027"
         Malaysia ,"97,368","111,457","133,267","90,720","40,829","14,887",96,157,464,625,718
         Myanmar ,"13,824","12,597","13,536","11,341","8,018","4,762",6,7,8,52,155
         Philippines ,"73,810","72,699","76,598","49,522","32,073","11,860",32,65,128,400,480
         Thailand ,"63,329","40,975","40,729","34,152","24,667","2,898",153,138,158,243,206
         Vietnam ,"41,501","45,117","38,449","46,350","19,791","5,390",5,11,40,169,230
         Other Markets In Southeast Asia ,"9,518","9,656","10,502","9,392","4,523","1,217",0,0,0,13,9
     Greater China ,"331,062","319,646","342,169","413,392","36,496","8,410",33,29,220,"1,410","2,622"
         China ,"258,602","248,614","272,716","329,047","6,222","1,488",18,23,118,958,"2,163"
         Hong Kong SAR ,"36,072","40,381","44,951","38,681","12,808","5,315",13,2,68,333,342
         Taiwan ,"34,588","28,547","20,722","42,608","16,922","1,419",2,4,34,115,113
         Other Markets In Greater China ,"1,800","2,104","3,780","3,056",544,188,0,0,0,4,4
     North Asia ,"136,703","125,534","118,930","127,547","69,624","12,809",34,38,185,827,828
         Japan ,"80,103","72,765","69,705","57,234","53,425","11,611",25,30,137,565,511
         South Korea ,"56,597","52,765","49,218","70,277","16,195","1,198",9,8,48,262,317
         Other Markets In North Asia ,3,4,7,36,4,0,0,0,0,0,0
     South Asia ,"142,953","139,027","146,356","123,324","64,947","24,252",95,86,147,688,717
         Bangladesh ,"12,805","11,037","13,811","11,631","6,054","3,738",4,1,11,3,35
         India ,"116,174","113,691","115,190","99,643","52,946","17,848",87,79,130,634,581
         Pakistan ,"1,365","1,474","1,976","1,774",742,285,0,1,3,24,42
         Sri Lanka ,"8,107","9,754","10,983","6,236","3,591","1,660",2,5,3,18,36
         Other Markets In South Asia ,"4,502","3,071","4,396","4,040","1,614",721,2,0,0,9,23
     West Asia ,"12,272","12,436","14,752","13,545","5,452","1,019",8,6,25,136,92
         Iran ,738,698,581,493,518,8,0,0,0,0,11
         Israel ,"2,982","2,009","2,032","2,958","1,377",211,0,4,4,40,16
         Kuwait ,357,450,729,"1,127",125,16,0,0,0,0,6
