Subject: Tourism,,,
Topic : Outbound Departures of Singapore Residents,,,
" Title  : M650661 - Outbound Departures Of Singapore Residents By Mode Of Transport, Monthly ",,,
,,,Number
Time,Total,Total,
,,Air,Sea
2020 Jul,"10,304","10,151",153
2020 Jun,"8,528","8,399",129
2020 May,"6,265","6,213",52
2020 Apr,"5,237","5,156",81
2020 Mar,"207,985","169,903","38,082"
2020 Feb,"420,253","336,590","83,663"
2020 Jan,"759,018","593,898","165,120"
2019 Dec,"1,271,780","1,029,844","241,936"
2019 Nov,"1,072,972","874,748","198,224"
2019 Oct,"875,060","705,809","169,251"
2019 Sep,"848,901","680,835","168,066"
2019 Aug,"814,768","626,076","188,692"
2019 Jul,"738,793","585,753","153,040"
2019 Jun,"1,048,217","842,881","205,336"
2019 May,"844,277","686,037","158,240"
2019 Apr,"811,810","650,310","161,500"
2019 Mar,"953,556","761,095","192,461"
2019 Feb,"729,915","572,580","157,335"
2019 Jan,"700,668","568,322","132,346"
2018 Dec,"1,283,525","1,017,890","265,635"
2018 Nov,"1,043,293","861,092","182,201"
2018 Oct,"832,460","671,392","161,068"
2018 Sep,"809,744","639,916","169,828"
2018 Aug,"780,692","617,271","163,421"
2018 Jul,"719,883","576,097","143,786"
2018 Jun,"955,818","773,912","181,906"
2018 May,"872,265","718,874","153,391"
2018 Apr,"774,528","632,948","141,580"
2018 Mar,"950,291","756,088","194,203"
2018 Feb,"686,178","545,445","140,733"
2018 Jan,"669,652","550,455","119,197"
2017 Dec,"1,238,572","982,892","255,680"
2017 Nov,"983,609","817,157","166,452"
2017 Oct,"785,667","648,313","137,354"
2017 Sep,"776,151","631,680","144,471"
2017 Aug,"731,503","597,199","134,304"
2017 Jul,"683,886","560,828","123,058"
2017 Jun,"917,203","766,096","151,107"
2017 May,"814,350","684,044","130,306"
2017 Apr,"789,348","636,536","152,812"
2017 Mar,"863,448","708,879","154,569"
2017 Feb,"608,797","502,463","106,334"
2017 Jan,"696,318","564,600","131,718"
2016 Dec,"1,185,494","974,723","210,771"
2016 Nov,"914,424","773,054","141,370"
2016 Oct,"759,911","627,721","132,190"
2016 Sep,"779,910","647,384","132,526"
2016 Aug,"629,682","519,051","110,631"
2016 Jul,"645,430","532,170","113,260"
2016 Jun,"879,990","728,965","151,025"
2016 May,"797,697","652,406","145,291"
2016 Apr,"739,805","600,065","139,740"
2016 Mar,"829,374","675,124","154,250"
2016 Feb,"686,304","542,520","143,784"
2016 Jan,"626,184","497,410","128,774"
2015 Dec,"1,142,361","920,227","222,134"
2015 Nov,"904,417","750,693","153,724"
2015 Oct,"715,482","589,746","125,736"
2015 Sep,"728,534","590,148","138,386"
2015 Aug,"674,736","532,272","142,464"
2015 Jul,"630,628","509,449","121,179"
2015 Jun,"868,634","709,001","159,633"
2015 May,"789,999","633,056","156,943"
2015 Apr,"695,965","562,934","133,031"
2015 Mar,"758,811","616,144","142,667"
2015 Feb,"612,946","481,183","131,763"
2015 Jan,"602,818","476,524","126,294"
2014 Dec,"1,082,589","865,374","217,215"
2014 Nov,"872,185","716,594","155,591"
2014 Oct,"757,472","614,387","143,085"
2014 Sep,"713,298","580,512","132,786"
2014 Aug,"617,255","494,973","122,282"
2014 Jul,"606,034","487,019","119,015"
2014 Jun,"896,499","725,083","171,416"
2014 May,"730,861","595,285","135,576"
2014 Apr,"670,221","539,291","130,930"
2014 Mar,"757,244","604,105","153,139"
2014 Feb,"572,401","448,791","123,610"
2014 Jan,"626,646","492,364","134,282"
2013 Dec,"1,077,593","864,075","213,518"
2013 Nov,"895,821","728,060","167,761"
2013 Oct,"717,544","589,119","128,425"
2013 Sep,"697,010","561,024","135,986"
2013 Aug,"639,716","501,336","138,380"
2013 Jul,"587,318","476,835","110,483"
2013 Jun,"870,655","703,498","167,157"
2013 May,"697,209","561,989","135,220"
2013 Apr,"605,614","492,933","112,681"
2013 Mar,"737,164","583,066","154,098"
2013 Feb,"586,868","466,876","119,992"
2013 Jan,"534,554","431,617","102,937"
2012 Dec,"969,868","783,456","186,412"
2012 Nov,"795,232","661,194","134,038"
2012 Oct,"660,133","536,331","123,802"
2012 Sep,"615,076","498,279","116,797"
2012 Aug,"573,261","453,977","119,284"
2012 Jul,"567,318","451,896","115,422"
2012 Jun,"785,014","624,639","160,375"
2012 May,"672,397","550,627","121,770"
2012 Apr,"618,408","500,320","118,088"
2012 Mar,"687,345","547,932","139,413"
2012 Feb,"528,376","422,488","105,888"
2012 Jan,"575,380","454,129","121,251"
2011 Dec,"930,172","748,441","181,731"
2011 Nov,"739,630","598,638","140,992"
2011 Oct,"615,413","486,524","128,889"
2011 Sep,"624,327","496,243","128,084"
2011 Aug,"537,969","424,227","113,742"
2011 Jul,"592,057","447,246","144,811"
2011 Jun,"762,285","598,743","163,542"
2011 May,"658,311","512,788","145,523"
2011 Apr,"589,780","454,456","135,324"
2011 Mar,"631,472","493,565","137,907"
2011 Feb,"552,139","418,658","133,481"
2011 Jan,"519,371","403,091","116,280"
,,,
,,,
,,,
,,,
,,,
SOURCE: IMMIGRATION AND CHECKPOINTS AUTHORITY,,,
,,,
,,,
,,,
,,,
Data last updated:,,,
,,,
Generated by: SingStat Table Builder,,,
Date generated: 12/10/2020,,,
Contact: info@singstat.gov.sg,,,
